No,R,PCC,XYZ,C Blue Red Yellow
222,....,[-0.16974137 -0.18934768 -0.13802682],[ 3.20335684  3.22493169  1.99274987],[ 0.2  0.1  0.4]
223,....,[-0.17217115 -0.19313761 -0.14182363],[ 3.13173555  3.13123346  1.65052506],[ 0.2  0.1  0.5]
224,....,[-0.1737695  -0.19590715 -0.14472142],[ 3.07881367  3.05451981  1.40990165],[ 0.2  0.1  0.6]
225,....,[-0.17488074 -0.19803317 -0.14705131],[ 3.03739261  2.98963853  1.23128239],[ 0.2  0.1  0.7]
226,....,[-0.1756858  -0.19972212 -0.14899496],[ 3.00359722  2.93346096  1.09333048],[ 0.2  0.1  0.8]
227,....,[-0.17628817 -0.20109777 -0.15066136],[ 2.97514865  2.88394776  0.98351526],[ 0.2  0.1  0.9]
228,....,[-0.1767509  -0.20223946 -0.15212045],[ 2.95061473  2.83969729  0.893987  ],[ 0.2  0.1  1. ]
229,....,[-0.09560793 -0.10650143 -0.06919076],[ 4.47837118  3.23282341  9.88032266],[ 0.2  0.2  0. ]
230,....,[-0.14551011 -0.16262102 -0.1211383 ],[ 3.42972021  2.91625976  4.49631405],[ 0.2  0.2  0.1]
231,....,[-0.15935912 -0.17777106 -0.13506745],[ 3.14162902  2.77264513  2.98888055],[ 0.2  0.2  0.2]
232,....,[-0.16588167 -0.18510802 -0.14198059],[ 3.00051646  2.679117    2.25409026],[ 0.2  0.2  0.3]
233,....,[-0.16963749 -0.18951859 -0.14629237],[ 2.91478408  2.60976177  1.81493063],[ 0.2  0.2  0.4]
234,....,[-0.1720541  -0.19249794 -0.14933583],[ 2.8561298   2.55463722  1.52161847],[ 0.2  0.2  0.5]
235,....,[-0.17372391 -0.19466263 -0.15165745],[ 2.81281818  2.50887694  1.31134898],[ 0.2  0.2  0.6]
236,....,[-0.17493687 -0.19631514 -0.1535246 ],[ 2.77908009  2.46973958  1.1529952 ],[ 0.2  0.2  0.7]
237,....,[-0.1758514  -0.19762213 -0.1550844 ],[ 2.75173962  2.43553029  1.02931916],[ 0.2  0.2  0.8]
238,....,[-0.17656121 -0.19868342 -0.15642499],[ 2.72890022  2.40512916  0.9299826 ],[ 0.2  0.2  0.9]
239,....,[-0.17712517 -0.19956277 -0.15760261],[ 2.70935732  2.37775806  0.84840021],[ 0.2  0.2  1. ]
240,....,[-0.11624114 -0.12883141 -0.09332266],[ 3.85465398  2.66211762  7.40832205],[ 0.2  0.3  0. ]
241,....,[-0.14992461 -0.16754683 -0.12973948],[ 3.15377919  2.47348485  3.84438102],[ 0.2  0.3  0.1]
242,....,[-0.16105444 -0.179762   -0.14117502],[ 2.92602054  2.37957088  2.66457829],[ 0.2  0.3  0.2]
243,....,[-0.16668545 -0.18593206 -0.14708086],[ 2.8082907   2.31644172  2.05449812],[ 0.2  0.3  0.3]
244,....,[-0.17007769 -0.1897011  -0.15082209],[ 2.73489335  2.26879345  1.67757787],[ 0.2  0.3  0.4]
245,....,[-0.17233469 -0.19226111 -0.15348075],[ 2.68400318  2.23047309  1.42028312],[ 0.2  0.3  0.5]
246,....,[-0.1739372  -0.19412219 -0.1555153 ],[ 2.64617643  2.19838507  1.2329286 ],[ 0.2  0.3  0.6]
247,....,[-0.1751287  -0.19554042 -0.15715448],[ 2.61663525  2.17075285  1.09015361],[ 0.2  0.3  0.7]
248,....,[-0.17604578 -0.19665894 -0.15852572],[ 2.59269436  2.14646319  0.97760293],[ 0.2  0.3  0.8]
249,....,[-0.17677096 -0.19756431 -0.15970584],[ 2.57272505  2.12477281  0.88651931],[ 0.2  0.3  0.9]
250,....,[-0.17735702 -0.19831206 -0.16074411],[ 2.55568041  2.10516109  0.8112474 ],[ 0.2  0.3  1. ]
251,....,[-0.12872211 -0.14223031 -0.10812162],[ 3.46642654  2.32297473  5.94653844],[ 0.2  0.4  0. ]
252,....,[-0.15346291 -0.17109587 -0.13559659],[ 2.95703385  2.19560397  3.37346073],[ 0.2  0.4  0.1]
253,....,[-0.16266495 -0.18129194 -0.14529392],[ 2.7703752   2.12781014  2.41442366],[ 0.2  0.4  0.2]
254,....,[-0.16757042 -0.18663777 -0.15049106],[ 2.66951709  2.08110909  1.8950202 ],[ 0.2  0.4  0.3]
255,....,[-0.17062584 -0.18996067 -0.15384107],[ 2.60513901  2.04536732  1.5653718 ],[ 0.2  0.4  0.4]
256,....,[-0.17270898 -0.19223706 -0.1562441 ],[ 2.55987703  2.01635505  1.33623729],[ 0.2  0.4  0.5]
257,....,[-0.17421698 -0.19389836 -0.15809313],[ 2.52594796  1.99189605  1.16717518],[ 0.2  0.4  0.6]
258,....,[-0.17535654 -0.19516577 -0.15958803],[ 2.49931662  1.97072203  1.03703233],[ 0.2  0.4  0.7]
259,....,[-0.17624607 -0.19616487 -0.1608416 ],[ 2.47767359  1.95202912  0.93361306],[ 0.2  0.4  0.8]
260,....,[-0.17695833 -0.1969724  -0.16192249],[ 2.45959835  1.93527591  0.8493691 ],[ 0.2  0.4  0.9]
261,....,[-0.13716293 -0.15126921 -0.11828703],[ 3.1962622   2.09398358  4.97482189],[ 0.2  0.5  0. ]
262,....,[-0.15631666 -0.1738583  -0.13999617],[ 2.80600775  2.00132051  3.01348075],[ 0.2  0.5  0.1]
263,....,[-0.16409598 -0.18256336 -0.14839106],[ 2.64919713  1.94936762  2.21319596],[ 0.2  0.5  0.2]
264,....,[-0.16841599 -0.18727791 -0.15304299],[ 2.561247    1.91284668  1.76300214],[ 0.2  0.5  0.3]
265,....,[-0.17117899 -0.19025757 -0.15609343],[ 2.50391705  1.88456719  1.47073355],[ 0.2  0.5  0.4]
266,....,[-0.17309975 -0.1923179  -0.15830379],[ 2.4630744   1.86143084  1.26441053],[ 0.2  0.5  0.5]
267,....,[-0.17451167 -0.19382935 -0.16001556],[ 2.43219023  1.84181266  1.11043116],[ 0.2  0.5  0.6]
268,....,[-0.17559223 -0.19498553 -0.16140552],[ 2.40780704  1.82475294  0.99084656],[ 0.2  0.5  0.7]
269,....,[-0.17644492 -0.19589785 -0.16257474],[ 2.38791415  1.80963731  0.89514223],[ 0.2  0.5  0.8]
270,....,[-0.14328537 -0.15781906 -0.1257876 ],[ 2.99467693  1.92680738  4.27994784],[ 0.2  0.6  0. ]
271,....,[-0.15866037 -0.17609778 -0.14350192],[ 2.68453292  1.85594536  2.72757395],[ 0.2  0.6  0.1]
272,....,[-0.16535267 -0.18365273 -0.15087859],[ 2.55034559  1.81449441  2.04662365],[ 0.2  0.6  0.2]
273,....,[-0.16919519 -0.18786226 -0.15509075],[ 2.4726349   1.78484496  1.65106011],[ 0.2  0.6  0.3]
274,....,[-0.17170728 -0.19056397 -0.15789821],[ 2.421022    1.76165065  1.38918642],[ 0.2  0.6  0.4]
275,....,[-0.17348212 -0.19244938 -0.15995315],[ 2.38379941  1.74254251  1.20179885],[ 0.2  0.6  0.5]
276,....,[-0.17480353 -0.19384033 -0.1615553 ],[ 2.35541407  1.72625681  1.06053335],[ 0.2  0.6  0.6]
277,....,[-0.17582551 -0.19490794 -0.16286244],[ 2.33286946  1.71203832  0.94995592],[ 0.2  0.6  0.7]
278,....,[-0.14794599 -0.16280039 -0.1316034 ],[ 2.83687201  1.79813512  3.75742974],[ 0.2  0.7  0. ]
279,....,[-0.16062025 -0.17796076 -0.14640751],[ 2.58359965  1.74196395  2.4940729 ],[ 0.2  0.7  0.1]
280,....,[-0.16645827 -0.18460111 -0.15296488],[ 2.46710327  1.70791369  1.9057961 ],[ 0.2  0.7  0.2]
281,....,[-0.16990597 -0.1883951  -0.15681172],[ 2.39772513  1.68318287  1.55444748],[ 0.2  0.7  0.3]
282,....,[-0.17220239 -0.19086474 -0.15941523],[ 2.3508652   1.66365917  1.31781063],[ 0.2  0.7  0.4]
283,....,[-0.17384749 -0.19260342 -0.16133963],[ 2.31668704  1.64747407  1.14643037],[ 0.2  0.7  0.5]
284,....,[-0.15162184 -0.16672331 -0.13628072],[ 2.70893034  1.69524547  3.34976666],[ 0.2  0.8  0. ]
285,....,[-0.16228544 -0.17953911 -0.1488843 ],[ 2.49769418  1.6494933   2.2992471 ],[ 0.2  0.8  0.1]
286,....,[-0.16743658 -0.18543527 -0.15476816],[ 2.39536858  1.62089609  1.78477008],[ 0.2  0.8  0.2]
287,....,[-0.1705534  -0.18888043 -0.15830533],[ 2.33290383  1.5998403   1.46991259],[ 0.2  0.8  0.3]
288,....,[-0.17266333 -0.19115226 -0.16073374],[ 2.29006688  1.58307999  1.25457595],[ 0.2  0.8  0.4]
289,....,[-0.17419325 -0.19276501 -0.16254561],[ 2.25849627  1.56910607  1.0969229 ],[ 0.2  0.8  0.5]
290,....,[-0.15460091 -0.16989521 -0.14014966],[ 2.60238709  1.6105644   3.0226015 ],[ 0.2  0.9  0. ]
291,....,[-0.16371974 -0.18089496 -0.15104055],[ 2.42320978  1.57249534  2.13390215],[ 0.2  0.9  0.1]
292,....,[-0.1683081  -0.18617456 -0.15636141],[ 2.33245571  1.54805532  1.67938648],[ 0.2  0.9  0.2]
293,....,[-0.17114421 -0.18932236 -0.15963208],[ 2.27581593  1.52983683  1.39512399],[ 0.2  0.9  0.3]
294,....,[-0.1730918  -0.19142304 -0.16190774],[ 2.23643176  1.51522484  1.1980055 ],[ 0.2  0.9  0.4]
295,....,[-0.15706784 -0.17251325 -0.14342212],[ 2.51177276  1.53927983  2.75409977],[ 0.2  1.   0. ]
296,....,[-0.16496973 -0.18207255 -0.15294885],[ 2.35766609  1.5070534   1.99161443],[ 0.2  1.   0.1]
297,....,[-0.1690897  -0.18683377 -0.15779265],[ 2.27651164  1.48586913  1.58662549],[ 0.2  1.   0.2]
298,....,[-0.17168509 -0.18972496 -0.16083125],[ 2.2248422   1.46989856  1.32835124],[ 0.2  1.   0.3]
299,....,[ 0.06007584  0.08999575  0.09395952],[  8.17093868   8.07363109  31.24812491],[ 0.3  0.   0. ]
300,....,[-0.14531125 -0.12091438 -0.08511372],[ 3.77764721  5.14307318  7.06336548],[ 0.3  0.   0.1]
301,....,[-0.16608592 -0.15249965 -0.11294747],[ 3.21510847  4.40286202  4.06514738],[ 0.3  0.   0.2]
302,....,[-0.17295373 -0.16728544 -0.12613981],[ 2.97384033  3.99963546  2.86500582],[ 0.3  0.   0.3]
303,....,[-0.17599338 -0.17627309 -0.13424048],[ 2.83307312  3.73043096  2.21589695],[ 0.3  0.   0.4]
304,....,[-0.1775387  -0.18243905 -0.1398681 ],[ 2.73767168  3.53176123  1.80841656],[ 0.3  0.   0.5]
305,....,[-0.17838699 -0.18697553 -0.14407675],[ 2.66702972  3.37605208  1.52851572],[ 0.3  0.   0.6]
306,....,[-0.17887294 -0.19046848 -0.14738434],[ 2.6115927   3.24900268  1.32424347],[ 0.3  0.   0.7]
307,....,[-0.1791566  -0.19324503 -0.15007899],[ 2.56627821  3.14230571  1.16851796],[ 0.3  0.   0.8]
308,....,[-0.17932171 -0.19550456 -0.15233528],[ 2.52811054  3.05073704  1.04582524],[ 0.3  0.   0.9]
309,....,[-0.17941505 -0.19737663 -0.15426584],[ 2.49521908  2.97081238  0.94663407],[ 0.3  0.   1. ]
310,....,[-0.06574378 -0.06538749 -0.0455229 ],[  4.70014536   3.7098888   13.95964715],[ 0.3  0.1  0. ]
311,....,[-0.14340685 -0.14921285 -0.12076088],[ 3.05234621  3.09651516  5.33213861],[ 0.3  0.1  0.1]
312,....,[-0.16043777 -0.16825231 -0.13774923],[ 2.68492387  2.85312843  3.3741839 ],[ 0.3  0.1  0.2]
313,....,[-0.167757   -0.17722365 -0.1459084 ],[ 2.51546489  2.70249351  2.48200203],[ 0.3  0.1  0.3]
314,....,[-0.17172471 -0.18261443 -0.15093003],[ 2.4154037   2.59429858  1.96794356],[ 0.3  0.1  0.4]
315,....,[-0.17415773 -0.18628541 -0.15444209],[ 2.34801665  2.51030451  1.63260574],[ 0.3  0.1  0.5]
316,....,[-0.17576969 -0.1889813  -0.15709676],[ 2.29873267  2.44188483  1.39617403],[ 0.3  0.1  0.6]
317,....,[-0.17689641 -0.19106248 -0.15921024],[ 2.26058883  2.38429511  1.22031894],[ 0.3  0.1  0.7]
318,....,[-0.1777157  -0.19272652 -0.16095617],[ 2.2298257   2.33465484  1.08429947],[ 0.3  0.1  0.8]
319,....,[-0.17832998 -0.19409184 -0.1624388 ],[ 2.20422887  2.29108783  0.97589664],[ 0.3  0.1  0.9]
320,....,[-0.17880201 -0.19523427 -0.16372495],[ 2.18240562  2.25230591  0.88743743],[ 0.3  0.1  1. ]
321,....,[-0.10234937 -0.10711695 -0.08709518],[ 3.6714175  2.6978435  9.360511 ],[ 0.3  0.2  0. ]
322,....,[-0.14799173 -0.15814376 -0.13405119],[ 2.70646653  2.40500577  4.39204859],[ 0.3  0.2  0.1]
323,....,[-0.16127483 -0.17263679 -0.14722021],[ 2.43060963  2.27013345  2.94133246],[ 0.3  0.2  0.2]
324,....,[-0.16762227 -0.17976056 -0.15378467],[ 2.29463983  2.18241112  2.22604785],[ 0.3  0.2  0.3]
325,....,[-0.17130568 -0.18407889 -0.1578599 ],[ 2.21211625  2.11759309  1.79607946],[ 0.3  0.2  0.4]
326,....,[-0.17368737 -0.18701452 -0.16071249],[ 2.15590526  2.06628776  1.50789092],[ 0.3  0.2  0.5]
327,....,[-0.17533846 -0.1891598  -0.1628668 ],[ 2.11466169  2.02387851  1.30079722],[ 0.3  0.2  0.6]
328,....,[-0.17654041 -0.19080701 -0.16458084],[ 2.08277904  1.98775901  1.14456206],[ 0.3  0.2  0.7]
329,....,[-0.17744778 -0.19211774 -0.16599713],[ 2.05715995  1.95631618  1.02237797],[ 0.3  0.2  0.8]
330,....,[-0.17815238 -0.19318902 -0.1672012 ],[ 2.03595011  1.92848358  0.92413667],[ 0.3  0.2  0.9]
331,....,[-0.17871204 -0.19408289 -0.16824774],[ 2.01796967  1.90352022  0.84338528],[ 0.3  0.2  1. ]
332,....,[-0.12090552 -0.12767526 -0.1085327 ],[ 3.13895159  2.21467053  7.10486593],[ 0.3  0.3  0. ]
333,....,[-0.15208601 -0.16333463 -0.14185201],[ 2.48456185  2.03732087  3.76768456],[ 0.3  0.3  0.1]
334,....,[-0.16278552 -0.17507237 -0.15269422],[ 2.26546226  1.94793567  2.62731368],[ 0.3  0.3  0.2]
335,....,[-0.16826427 -0.18108944 -0.15831466],[ 2.15156095  1.88788751  2.03184553],[ 0.3  0.3  0.3]
336,....,[-0.17158512 -0.1847985  -0.16185844],[ 2.0805717   1.8426932   1.66209237],[ 0.3  0.3  0.4]
337,....,[-0.17380265 -0.18733589 -0.16435556],[ 2.03150893  1.80647416  1.40889509],[ 0.3  0.3  0.5]
338,....,[-0.17538062 -0.18919262 -0.16624676],[ 1.99522243  1.77625911  1.22412422],[ 0.3  0.3  0.6]
339,....,[-0.17655538 -0.19061666 -0.16775332],[ 1.96706003  1.75033837  1.08309381],[ 0.3  0.3  0.7]
340,....,[-0.1774601  -0.19174723 -0.16899897],[ 1.94439809  1.72763885  0.97178248],[ 0.3  0.3  0.8]
341,....,[-0.17817551 -0.19266872 -0.17005859],[ 1.92564121  1.70744342  0.88161447],[ 0.3  0.3  0.9]
342,....,[-0.13233637 -0.14017398 -0.12192062],[ 2.80437297  1.92405392  5.74544792],[ 0.3  0.4  0. ]
343,....,[-0.15541341 -0.16698469 -0.14724839],[ 2.32440229  1.80321325  3.31373234],[ 0.3  0.4  0.1]
344,....,[-0.16427702 -0.17681119 -0.15645364],[ 2.14431759  1.7382447   2.38390791],[ 0.3  0.4  0.2]
345,....,[-0.16905258 -0.1820377  -0.16140041],[ 2.04653267  1.69351056  1.87598704],[ 0.3  0.4  0.3]
346,....,[-0.17204295 -0.18531675 -0.16457271],[ 1.98413127  1.65936137  1.55215955],[ 0.3  0.4  0.4]
347,....,[-0.17408791 -0.1875802  -0.1668283 ],[ 1.94038244  1.63173184  1.32642541],[ 0.3  0.4  0.5]
348,....,[-0.17557083 -0.18924369 -0.1685453 ],[ 1.90773311  1.60852044  1.15954028],[ 0.3  0.4  0.6]
349,....,[-0.17669242 -0.19052165 -0.16991724],[ 1.88224923  1.58849897  1.03088403],[ 0.3  0.4  0.7]
350,....,[-0.17756815 -0.19153629 -0.17105378],[ 1.86167186  1.57088755  0.92852987],[ 0.3  0.4  0.8]
351,....,[-0.14015787 -0.14866819 -0.13120142],[ 2.5709799   1.72693255  4.83097288],[ 0.3  0.5  0. ]
352,....,[-0.15812174 -0.16977995 -0.1513195 ],[ 2.20091183  1.63851493  2.96521748],[ 0.3  0.5  0.1]
353,....,[-0.16562685 -0.17818901 -0.15929268],[ 2.04931551  1.58853109  2.18749311],[ 0.3  0.5  0.2]
354,....,[-0.16983516 -0.18280708 -0.16371813],[ 1.9639363   1.55341368  1.74661154],[ 0.3  0.5  0.3]
355,....,[-0.17253966 -0.18575322 -0.16660365],[ 1.90830366  1.52628861  1.45919771],[ 0.3  0.5  0.4]
356,....,[-0.17442474 -0.1878064  -0.16867537],[ 1.86877762  1.50416706  1.2557642 ],[ 0.3  0.5  0.5]
357,....,[-0.17581241 -0.18932373 -0.17026203],[ 1.83901465  1.48547404  1.10365988],[ 0.3  0.5  0.6]
358,....,[-0.1768751  -0.19049297 -0.17153491],[ 1.8156406   1.46927665  0.98536882],[ 0.3  0.5  0.7]
359,....,[-0.14587815 -0.15485597 -0.13807977],[ 2.39700975  1.58288091  4.17159563],[ 0.3  0.6  0. ]
360,....,[-0.16035975 -0.17202435 -0.15456051],[ 2.10150789  1.51500212  2.68753815],[ 0.3  0.6  0.1]
361,....,[-0.16682457 -0.17933694 -0.16156788],[ 1.97158631  1.47502765  2.02453731],[ 0.3  0.6  0.2]
362,....,[-0.17056995 -0.18346691 -0.16557164],[ 1.89608509  1.44645596  1.63669965],[ 0.3  0.6  0.3]
363,....,[-0.17302935 -0.18614257 -0.16822371],[ 1.84596964  1.42416161  1.37895315],[ 0.3  0.6  0.4]
364,....,[-0.1747711  -0.18802481 -0.17014642],[ 1.8099256   1.40585356  1.19406292],[ 0.3  0.6  0.5]
365,....,[-0.15025966 -0.15958271 -0.14342178],[ 2.26121627  1.47210939  3.67270829],[ 0.3  0.7  0. ]
366,....,[-0.16223922 -0.17388167 -0.15723719],[ 2.01901093  1.41815545  2.46019787],[ 0.3  0.7  0.1]
367,....,[-0.16788502 -0.18032044 -0.16346596],[ 1.90608715  1.385271    1.88652824],[ 0.3  0.7  0.2]
368,....,[-0.17124728 -0.18404806 -0.16711892],[ 1.83864507  1.36141129  1.54170179],[ 0.3  0.7  0.3]
369,....,[-0.17349599 -0.18649741 -0.1695747 ],[ 1.79313066  1.34262549  1.30862534],[ 0.3  0.7  0.4]
370,....,[-0.17511042 -0.18823591 -0.17137203],[ 1.76002689  1.32710318  1.13943156],[ 0.3  0.7  0.5]
371,....,[-0.15373205 -0.16332015 -0.14771719],[ 2.15155692  1.38371171  3.28161513],[ 0.3  0.8  0. ]
372,....,[-0.16384095 -0.17545151 -0.15950771],[ 1.94895741  1.33967922  2.27013488],[ 0.3  0.8  0.1]
373,....,[-0.16882721 -0.18117804 -0.16509557],[ 1.84968018  1.31203837  1.76775928],[ 0.3  0.8  0.2]
374,....,[-0.17186812 -0.18456742 -0.16845091],[ 1.78893742  1.29171344  1.45848441],[ 0.3  0.8  0.3]
375,....,[-0.17393462 -0.18682358 -0.17073807],[ 1.74732573  1.27558056  1.24625529],[ 0.3  0.8  0.4]
376,....,[-0.15655703 -0.1663538  -0.15126505],[ 2.06065695  1.3111506   2.96654044],[ 0.3  0.9  0. ]
377,....,[-0.16522359 -0.17679948 -0.1614734 ],[ 1.88839538  1.27446094  2.10856501],[ 0.3  0.9  0.1]
378,....,[-0.16966879 -0.18193505 -0.16652493],[ 1.80028249  1.25082875  1.6642218 ],[ 0.3  0.9  0.2]
379,....,[-0.15890363 -0.16886734 -0.15425892],[ 1.98372866  1.25025317  2.7071432 ],[ 0.3  1.   0. ]
380,....,[-0.16643045 -0.17797133 -0.16320283],[ 1.83527888  1.21916376  1.96933026],[ 0.3  1.   0.1]
381,....,[-0.17042485 -0.18260939 -0.16779949],[ 1.75644242  1.19867774  1.57299672],[ 0.3  1.   0.2]
382,....,[ 0.02453601  0.04995829  0.04178859],[  6.7411834    6.46434921  26.55250907],[ 0.4  0.   0. ]
383,....,[-0.14531058 -0.12193537 -0.10418465],[ 3.14259581  4.23250296  6.7767412 ],[ 0.4  0.   0.1]
384,....,[-0.16603245 -0.15006882 -0.12888007],[ 2.62343044  3.62495293  3.95895372],[ 0.4  0.   0.2]
385,....,[-0.17336184 -0.16323336 -0.14058627],[ 2.40102119  3.29145569  2.80727476],[ 0.4  0.   0.3]
386,....,[-0.17680081 -0.17124528 -0.14777094],[ 2.27266811  3.06839961  2.17855911],[ 0.4  0.   0.4]
387,....,[-0.17865461 -0.17676232 -0.15276017],[ 2.18678445  2.90374936  1.78176054],[ 0.4  0.   0.5]
388,....,[-0.17973879 -0.1808436  -0.1564884 ],[ 2.12398687  2.77474664  1.50823943],[ 0.4  0.   0.6]
389,....,[-0.18040644 -0.18400711 -0.15941429],[ 2.07528435  2.6695463   1.30812673],[ 0.4  0.   0.7]
390,....,[-0.18083142 -0.18654095 -0.16179309],[ 2.03590377  2.5812541   1.1552889 ],[ 0.4  0.   0.8]
391,....,[-0.18110736 -0.18862025 -0.16377971],[ 2.00305968  2.50552985  1.0346976 ],[ 0.4  0.   0.9]
392,....,[-0.18128814 -0.19035858 -0.16547424],[ 1.97500818  2.43947716  0.93709272],[ 0.4  0.   1. ]
393,....,[-0.07556319 -0.07128515 -0.06521063],[  4.07198582   3.22632673  12.98017574],[ 0.4  0.1  0. ]
394,....,[-0.14554459 -0.14635077 -0.13234986],[ 2.58600386  2.67492051  5.18422907],[ 0.4  0.1  0.1]
395,....,[-0.16188066 -0.16440561 -0.1483629 ],[ 2.23597267  2.45134884  3.31138673],[ 0.4  0.1  0.2]
396,....,[-0.16904221 -0.17300863 -0.15609988],[ 2.07319082  2.31295661  2.44614645],[ 0.4  0.1  0.3]
397,....,[-0.1729726  -0.17820053 -0.16085223],[ 1.97708085  2.21378882  1.94425128],[ 0.4  0.1  0.4]
398,....,[-0.17540526 -0.18174544 -0.16416088],[ 1.9125804   2.13702501  1.61552097],[ 0.4  0.1  0.5]
399,....,[-0.17702926 -0.18435506 -0.16664813],[ 1.8656526   2.07467892  1.38311672],[ 0.4  0.1  0.6]
400,....,[-0.17817164 -0.18637504 -0.16861676],[ 1.82955441  2.02235096  1.2099182 ],[ 0.4  0.1  0.7]
401,....,[-0.1790068  -0.18799517 -0.17023341],[ 1.80063322  1.97736843  1.07575504],[ 0.4  0.1  0.8]
402,....,[-0.17963574 -0.18932921 -0.17159812],[ 1.7767331   1.93799055  0.96870765],[ 0.4  0.1  0.9]
403,....,[-0.18012073 -0.19045001 -0.17277505],[ 1.75649648  1.90302256  0.88127308],[ 0.4  0.1  1. ]
404,....,[-0.10785585 -0.10855817 -0.10126626],[ 3.18952724  2.36662831  8.89801241],[ 0.4  0.2  0. ]
405,....,[-0.14989156 -0.15530418 -0.14410278],[ 2.29698163  2.09435889  4.29272614],[ 0.4  0.2  0.1]
406,....,[-0.16265011 -0.16917588 -0.15662066],[ 2.03202124  1.96694206  2.89544964],[ 0.4  0.2  0.2]
407,....,[-0.16883257 -0.17608321 -0.16290718],[ 1.90033523  1.88399876  2.19886062],[ 0.4  0.2  0.3]
408,....,[-0.17244833 -0.18029819 -0.1668082 ],[ 1.82026179  1.82280628  1.77777114],[ 0.4  0.2  0.4]
409,....,[-0.17479853 -0.18317625 -0.16952878],[ 1.76577276  1.77447876  1.49455367],[ 0.4  0.2  0.5]
410,....,[-0.17643406 -0.185287   -0.17157253],[ 1.7258958  1.7346287  1.2905492],[ 0.4  0.2  0.6]
411,....,[-0.17762817 -0.18691305 -0.17318868],[ 1.6951805   1.70077322  1.13637811],[ 0.4  0.2  0.7]
412,....,[-0.17853165 -0.18821124 -0.17451538],[ 1.67060505  1.67137362  1.01564888],[ 0.4  0.2  0.8]
413,....,[-0.1792344  -0.18927594 -0.17563575],[ 1.65035572  1.64541191  0.91847609],[ 0.4  0.2  0.9]
414,....,[-0.12471413 -0.1275389  -0.12051596],[ 2.71996435  1.94339808  6.82855341],[ 0.4  0.3  0. ]
415,....,[-0.15374504 -0.16058321 -0.15124885],[ 2.10660623  1.77598779  3.69413128],[ 0.4  0.3  0.1]
416,....,[-0.16404615 -0.171864   -0.16158778],[ 1.89523305  1.69049696  2.59115254],[ 0.4  0.3  0.2]
417,....,[-0.16938257 -0.17772118 -0.16698508],[ 1.78452508  1.63299376  2.00975595],[ 0.4  0.3  0.3]
418,....,[-0.17263753 -0.18135784 -0.17038744],[ 1.71537396  1.58975816  1.64695612],[ 0.4  0.3  0.4]
419,....,[-0.17481975 -0.18385852 -0.17277655],[ 1.66759193  1.55516927  1.39775137],[ 0.4  0.3  0.5]
420,....,[-0.17637686 -0.18569618 -0.17457646],[ 1.63231042  1.52637282  1.21550498],[ 0.4  0.3  0.6]
421,....,[-0.17753836 -0.18711107 -0.17600134],[ 1.60499859  1.50172202  1.07618239],[ 0.4  0.3  0.7]
422,....,[-0.17843409 -0.18823861 -0.17717146],[ 1.58309247  1.48018155  0.96608585],[ 0.4  0.3  0.8]
423,....,[-0.13526344 -0.13924755 -0.13274449],[ 2.42131348  1.6854067   5.55967972],[ 0.4  0.4  0. ]
424,....,[-0.15689773 -0.16427614 -0.15626863],[ 1.96759392  1.57033265  3.25620617],[ 0.4  0.4  0.1]
425,....,[-0.16544812 -0.17374542 -0.16506169],[ 1.79334869  1.50777222  2.35419934],[ 0.4  0.4  0.2]
426,....,[-0.17010267 -0.17884426 -0.16981647],[ 1.6981049   1.46463769  1.85736854],[ 0.4  0.4  0.3]
427,....,[-0.17303333 -0.18206679 -0.17286432],[ 1.63719524  1.43173351  1.53920243],[ 0.4  0.4  0.4]
428,....,[-0.17504428 -0.18430337 -0.17502364],[ 1.59449172  1.40515041  1.31678936],[ 0.4  0.4  0.5]
429,....,[-0.17650581 -0.18595468 -0.17665853],[ 1.56266254  1.38285805  1.15203634],[ 0.4  0.4  0.6]
430,....,[-0.17761289 -0.18722869 -0.17795646],[ 1.53787146  1.36366645  1.02483885],[ 0.4  0.4  0.7]
431,....,[-0.14255546 -0.14727003 -0.14130369],[ 2.21176058  1.50923068  4.69673188],[ 0.4  0.5  0. ]
432,....,[-0.15947956 -0.16708541 -0.1600813 ],[ 1.85980606  1.42454462  2.91858957],[ 0.4  0.5  0.1]
433,....,[-0.16673102 -0.17520547 -0.16770574],[ 1.71280742  1.37621071  2.16241476],[ 0.4  0.5  0.2]
434,....,[-0.17083562 -0.17971784 -0.1719605 ],[ 1.62952803  1.34220747  1.73054566],[ 0.4  0.5  0.3]
435,....,[-0.17348667 -0.18261772 -0.17473255],[ 1.57515754  1.31595891  1.44786157],[ 0.4  0.5  0.4]
436,....,[-0.17534011 -0.18464997 -0.17671519],[ 1.53652631  1.29458064  1.24725454],[ 0.4  0.5  0.5]
437,....,[-0.17670715 -0.18615908 -0.1782252 ],[ 1.50746929  1.2765456   1.09698933],[ 0.4  0.5  0.6]
438,....,[-0.14792734 -0.15314601 -0.14768329],[ 2.05515134  1.38004147  4.06970956],[ 0.4  0.6  0. ]
439,....,[-0.16162313 -0.16932943 -0.16312376],[ 1.77281967  1.31476055  2.64876546],[ 0.4  0.6  0.1]
440,....,[-0.16787771 -0.17640287 -0.16982957],[ 1.64662548  1.27599709  2.00295204],[ 0.4  0.6  0.2]
441,....,[-0.17153316 -0.18044348 -0.17367866],[ 1.57290401  1.24825734  1.62260343],[ 0.4  0.6  0.3]
