Method name,Mean RMS,Mean ΔE,Mean ΔC,Mean GFC,Min RMS,Max RMS,Min ΔE,Max ΔE,Min ΔC,Max ΔC,Min GFC,Max GFC
Principal Component Coordinates,0.01088,0.62061,0.0759,0.99973,0.00073,0.0441,0.03936,2.59515,0.00367,0.31721,0.9973,1.0
XYZ,0.0102,1.05555,0.03093,0.99993,0.00067,0.0429,0.14141,3.89937,0.0041,0.10908,0.99956,1.0
